Team1,Team2,Winner,RealOdds,LoungeOdds,Difference,Risk,BetSize,EVTeam,Win
KeyD,TSM,KeyD,0.3,0.19,0.11,MEDIUM RISK,AVG BET,KeyD,WIN
VP,Cloud9,VP,0.5,0.68,-0.18,MEDIUM RISK,LOW BET,Cloud9,LOSS
LG,EnVyUs,EnVyUs,0.25,0.17,0.08,MEDIUM RISK,AVG BET,LG,LOSS
CLG,KeyD,CLG,0.5,0.36,0.14,MEDIUM RISK,AVG BET,CLG,WIN
Fnatic,TSM,Fnatic,0.55,0.65,-0.1,HIGH RISK,AVG BET,TSM,LOSS
Cloud9,EnVyUs,Cloud9,0.5,0.21,0.29,HIGH RISK,LOW BET,Cloud9,WIN
KeyD,Fnatic,Fnatic,0.3,0.14,0.16,LOW RISK,AVG BET,KeyD,LOSS
KeyD,Fnatic,Fnatic,0.3,0.14,0.16,LOW RISK,AVG BET,KeyD,LOSS
CLG,Cloud9,Cloud9,0.35,0.24,0.11,MEDIUM RISK,AVG BET,CLG,LOSS
VP,Fnatic,Fnatic,0.45,0.23,0.22,HIGH RISK,AVG BET,VP,LOSS
Cloud9,Fnatic,Fnatic,0.4,0.15,0.25,HIGH RISK,ICB BET,Cloud9,LOSS
Cloud9,Kinguin,Cloud9,0.6,0.71,-0.11,MEDIUM RISK,AVG BET,Kinguin,LOSS
VP,NaVi,NaVi,0.45,0.47,-0.02,HIGH RISK,LOW BET,VP,LOSS
Fnatic,Liquid,Fnatic,0.75,0.88,-0.13,LOW RISK,AVG BET,Liquid,LOSS
NiP,TSM,TSM,0.45,0.36,0.09,HIGH RISK,LOW BET,NiP,LOSS
NiP,TSM,TSM,0.45,0.36,0.09,HIGH RISK,LOW BET,NiP,LOSS
Cloud9,NaVi,Cloud9,0.45,0.44,0.01,HIGH RISK,LOW BET,Cloud9,WIN
Fnatic,TSM,TSM,0.55,0.67,-0.12,HIGH RISK,LOW BET,TSM,WIN
VP,Kinguin,Kinguin,0.6,0.83,-0.23,MEDIUM RISK,LOW BET,Kinguin,WIN
NiP,Liquid,NiP,0.75,0.88,-0.13,LOW RISK,AVG BET,Liquid,LOSS
NaVi,Kinguin,NaVi,0.6,0.74,-0.14,MEDIUM RISK,AVG BET,Kinguin,LOSS
Fnatic,NiP,Fnatic,0.55,0.78,-0.23,HIGH RISK,ICB BET,NiP,LOSS
TSM,NaVi,TSM,0.45,0.68,-0.23,HIGH RISK,LOW BET,NaVi,LOSS
Cloud9,Fnatic,Cloud9,0.5,0.26,0.24,HIGH RISK,LOW BET,Cloud9,WIN
LG,NaVi,NaVi,0.25,0.08,0.17,LOW RISK,LOW BET,LG,LOSS
LG,NaVi,NaVi,0.25,0.08,0.17,LOW RISK,LOW BET,LG,LOSS
VP,TStorm,VP,0.75,0.86,-0.11,LOW RISK,AVG BET,TStorm,LOSS
Cloud9,CLG,Cloud9,0.6,0.88,-0.28,MEDIUM RISK,AVG BET,CLG,LOSS
mouz,Liquid,mouz,0.6,0.76,-0.16,MEDIUM RISK,LOW BET,Liquid,LOSS
NaVi,VP,VP,0.55,0.65,-0.1,HIGH RISK,AVG BET,VP,WIN
LG,TStorm,TStorm,0.6,0.37,0.23,MEDIUM RISK,LOW BET,LG,LOSS
Cloud9,mouz,mouz,0.55,0.75,-0.2,HIGH RISK,ICB BET,mouz,WIN
CLG,Liquid,CLG,0.6,0.62,-0.02,MEDIUM RISK,AVG BET,Liquid,LOSS
CLG,Liquid,CLG,0.6,0.62,-0.02,MEDIUM RISK,AVG BET,Liquid,LOSS
NaVi,TStorm,NaVi,0.75,0.91,-0.16,MEDIUM RISK,LOW BET,TStorm,LOSS
Cloud9,CLG,Cloud9,0.7,0.82,-0.12,LOW RISK,AVG BET,CLG,LOSS
mouz,NaVi,NaVi,0.4,0.35,0.05,MEDIUM RISK,AVG BET,mouz,LOSS
VP,Cloud9,VP,0.45,0.66,-0.21,HIGH RISK,LOW BET,Cloud9,LOSS
VP,NaVi,VP,0.55,0.53,0.02,HIGH RISK,LOW BET,NaVi,LOSS
EnVyUs,TSM,EnVyUs,0.6,0.56,0.04,HIGH RISK,LOW BET,TSM,LOSS
mouz,Renegades,mouz,0.7,0.78,-0.08,LOW RISK,LOW BET,Renegades,LOSS
Renegades,TSM,TSM,0.7,0.12,0.58,MEDIUM RISK,AVG BET,Renegades,LOSS
EnVyUs,mouz,EnVyUs,0.6,0.79,-0.19,MEDIUM RISK,AVG BET,mouz,LOSS
SK,Renegades,Renegades,0.6,0.64,-0.04,MEDIUM RISK,LOW BET,Renegades,WIN
CLG,EnVyUs,EnVyUs,0.65,0.11,0.54,MEDIUM RISK,AVG BET,CLG,LOSS
